YEA_GOV,PROV,TAX_TYPE,FORM_CODE,AMT_RCV
2566,ชลบุรี,1,ทป3,405176479.2
2566,ชลบุรี,1,ป2,4947400
2566,ชลบุรี,1,ภงด1,8693347195
2566,ชลบุรี,1,ภงด2,886116196.9
2566,ชลบุรี,1,ภงด3,1125329365
2566,ชลบุรี,1,ภงด90,509537223
2566,ชลบุรี,1,ภงด91,709393128.2
2566,ชลบุรี,1,ภงด93,29517619.08
2566,ชลบุรี,1,ภงด94,124255372.9
2566,ชลบุรี,2,ทป3,95994926.78
2566,ชลบุรี,2,ป2,13240400
2566,ชลบุรี,2,ภงด50,11890840006
2566,ชลบุรี,2,ภงด51,10475478056
2566,ชลบุรี,2,ภงด52,19706003.43
2566,ชลบุรี,2,ภงด53,8043669749
2566,ชลบุรี,2,ภงด54,11556143006
2566,ชลบุรี,2,ภงด55,1553021.89
2566,ชลบุรี,5,ทป3,179387953
2566,ชลบุรี,5,ป2,4205600
2566,ชลบุรี,5,ภพ30,23884901812
2566,ชลบุรี,5,ภพ30.2,2611.96
2566,ชลบุรี,5,ภพ36,3829491040
2566,ชลบุรี,6,ทป3,2076515.73
2566,ชลบุรี,6,ป2,121100
2566,ชลบุรี,6,ภธ40,250673128.6
2566,ชลบุรี,7,ทป3,5529097.93
2566,ชลบุรี,7,อส10,32169991.8
2566,ชลบุรี,7,อส10.1,683156
2566,ชลบุรี,7,อส4,89778055.29
2566,ชลบุรี,7,อส4ก,1066026
2566,ชลบุรี,7,อส4ข,15522061.73
2566,ชลบุรี,7,อส9,94187611
2566,ชลบุรี,9,รบ1,645
2566,ชลบุรี,10,รบ1,3.5
2566,ชลบุรี,11,ป2,8821700
2566,ชลบุรี,15,รบ1,1071
2566,ชัยนาท,1,ทป3,19349595.02
2566,ชัยนาท,1,ป2,794800
2566,ชัยนาท,1,ภงด1,24821772.17
2566,ชัยนาท,1,ภงด2,14135729.88
2566,ชัยนาท,1,ภงด3,30672218.61
2566,ชัยนาท,1,ภงด90,30035922.59
2566,ชัยนาท,1,ภงด91,16184354.96
2566,ชัยนาท,1,ภงด93,37720
2566,ชัยนาท,1,ภงด94,7262795.94
2566,ชัยนาท,2,ทป3,1043855.1
2566,ชัยนาท,2,ป2,563100
2566,ชัยนาท,2,ภงด50,50666425.92
2566,ชัยนาท,2,ภงด51,41882101.56
2566,ชัยนาท,2,ภงด53,112784334.7
2566,ชัยนาท,2,ภงด55,102280.36
2566,ชัยนาท,5,ทป3,4754485
2566,ชัยนาท,5,ป2,134100
2566,ชัยนาท,5,ภพ30,265436612.5
2566,ชัยนาท,5,ภพ36,407773.08
2566,ชัยนาท,6,ป2,1800
2566,ชัยนาท,6,ภธ40,10706767.11
2566,ชัยนาท,7,ทป3,2.48
2566,ชัยนาท,7,อส10,2900106
2566,ชัยนาท,7,อส10.1,350054
2566,ชัยนาท,7,อส4,1864171
2566,ชัยนาท,7,อส4ก,23256
2566,ชัยนาท,7,อส4ข,304809.5
2566,ชัยนาท,7,อส9,1416531
2566,ชัยนาท,11,ป2,295900
2566,ชัยภูมิ,1,ทป3,39296817.35
2566,ชัยภูมิ,1,ป2,1964600
2566,ชัยภูมิ,1,ภงด1,51192647.26
2566,ชัยภูมิ,1,ภงด2,4448595.67
2566,ชัยภูมิ,1,ภงด3,52559569.15
2566,ชัยภูมิ,1,ภงด90,41329091.07
2566,ชัยภูมิ,1,ภงด91,32427843.84
2566,ชัยภูมิ,1,ภงด93,53772291.85
2566,ชัยภูมิ,1,ภงด94,13686442.13
2566,ชัยภูมิ,2,ทป3,2640477.88
2566,ชัยภูมิ,2,ป2,497000
2566,ชัยภูมิ,2,ภงด50,155609207.9
2566,ชัยภูมิ,2,ภงด51,92649045.51
2566,ชัยภูมิ,2,ภงด53,115686528.2
2566,ชัยภูมิ,2,ภงด54,882.57
2566,ชัยภูมิ,2,ภงด55,452300.33
2566,ชัยภูมิ,5,ทป3,30290514.38
2566,ชัยภูมิ,5,ป2,653300
2566,ชัยภูมิ,5,ภพ30,926204374.1
2566,ชัยภูมิ,5,ภพ36,983615.14
2566,ชัยภูมิ,6,ป2,23200
2566,ชัยภูมิ,6,ภธ40,36808680.78
2566,ชัยภูมิ,7,อส10,5431699.17
2566,ชัยภูมิ,7,อส10.1,1075623
2566,ชัยภูมิ,7,อส4,2945104.69
2566,ชัยภูมิ,7,อส4ก,77189
2566,ชัยภูมิ,7,อส4ข,1133308.58
2566,ชัยภูมิ,7,อส9,5226483
2566,ชัยภูมิ,10,รบ1,9
2566,ชัยภูมิ,11,ป2,572500
2566,ชัยภูมิ,15,รบ1,1
2566,ชุมพร,1,ทป3,36532062.88
2566,ชุมพร,1,ป2,1230600
2566,ชุมพร,1,ภงด1,52293772.99
2566,ชุมพร,1,ภงด2,20071558.88
2566,ชุมพร,1,ภงด3,46628554.74
2566,ชุมพร,1,ภงด90,55885308.52
2566,ชุมพร,1,ภงด91,20968645.49
2566,ชุมพร,1,ภงด93,13298078.16
2566,ชุมพร,1,ภงด94,13398478.78
2566,ชุมพร,2,ทป3,7712481.85
2566,ชุมพร,2,ป2,887900
2566,ชุมพร,2,ภงด50,139659170.4
2566,ชุมพร,2,ภงด51,98677647.39
2566,ชุมพร,2,ภงด53,104728647.3
2566,ชุมพร,2,ภงด54,6452.21
2566,ชุมพร,2,ภงด55,129497.47
2566,ชุมพร,5,ทป3,19136281.03
2566,ชุมพร,5,ป2,410100
2566,ชุมพร,5,ภพ30,1014277585
2566,ชุมพร,5,ภพ36,923872.14
2566,ชุมพร,6,ทป3,502534.29
2566,ชุมพร,6,ป2,11300
2566,ชุมพร,6,ภธ40,18550477.92
2566,ชุมพร,7,ทป3,549
2566,ชุมพร,7,อส10,3462866.4
2566,ชุมพร,7,อส10.1,186151
2566,ชุมพร,7,อส4,3816811.5
2566,ชุมพร,7,อส4ก,106014
2566,ชุมพร,7,อส4ข,1268026.11
2566,ชุมพร,7,อส9,1859725
2566,ชุมพร,10,รบ1,0.5
2566,ชุมพร,11,ป2,591500
2566,ชุมพร,15,รบ1,0.5
2566,เชียงราย,1,ทป3,70978069.53
2566,เชียงราย,1,ป2,1736900
2566,เชียงราย,1,ภงด1,166664323.9
2566,เชียงราย,1,ภงด2,55766230.25
2566,เชียงราย,1,ภงด3,121273257
2566,เชียงราย,1,ภงด90,103310741.3
2566,เชียงราย,1,ภงด91,36701215.37
2566,เชียงราย,1,ภงด93,1755349.1
2566,เชียงราย,1,ภงด94,26855214.19
2566,เชียงราย,2,ทป3,28266348.77
2566,เชียงราย,2,ป2,1821200
2566,เชียงราย,2,ภงด50,240168281.6
2566,เชียงราย,2,ภงด51,192191182
2566,เชียงราย,2,ภงด53,249780714.5
2566,เชียงราย,2,ภงด54,1977709.66
2566,เชียงราย,2,ภงด55,1278681.61
2566,เชียงราย,5,ทป3,32784324.91
2566,เชียงราย,5,ป2,776700
2566,เชียงราย,5,ภพ30,1273882872
2566,เชียงราย,5,ภพ36,10230814.54
2566,เชียงราย,6,ทป3,772466.39
2566,เชียงราย,6,ป2,34400
2566,เชียงราย,6,ภธ40,50618195.16
2566,เชียงราย,7,อส10,8567122.45
2566,เชียงราย,7,อส10.1,794365
2566,เชียงราย,7,อส4,8499605.17
2566,เชียงราย,7,อส4ก,103999.85
2566,เชียงราย,7,อส4ข,7747399.74
2566,เชียงราย,7,อส9,4821247
2566,เชียงราย,9,รบ1,1710
2566,เชียงราย,11,ป2,2322800
2566,เชียงราย,15,รบ1,257.5
2566,เชียงราย,70,ภม60,48047.11
2566,เชียงใหม่,1,ทป3,237919100.4
2566,เชียงใหม่,1,ป2,6099500
2566,เชียงใหม่,1,ภงด1,1041070356
2566,เชียงใหม่,1,ภงด2,387227856.5
2566,เชียงใหม่,1,ภงด3,467382221.1
2566,เชียงใหม่,1,ภงด90,314711826.1
2566,เชียงใหม่,1,ภงด91,124017939.8
2566,เชียงใหม่,1,ภงด93,497690.83
2566,เชียงใหม่,1,ภงด94,56599947.44
2566,เชียงใหม่,2,ทป3,86478671.82
2566,เชียงใหม่,2,ป2,4536500
2566,เชียงใหม่,2,ภงด50,1073041857
2566,เชียงใหม่,2,ภงด51,829071293.8
2566,เชียงใหม่,2,ภงด53,1078215546
2566,เชียงใหม่,2,ภงด54,18677394.8
2566,เชียงใหม่,2,ภงด55,4305314.46
2566,เชียงใหม่,5,ทป3,119881763.6
2566,เชียงใหม่,5,ป2,2371700
2566,เชียงใหม่,5,ภพ30,5159743987
2566,เชียงใหม่,5,ภพ30.2,86587.94
2566,เชียงใหม่,5,ภพ36,102643265.4
2566,เชียงใหม่,6,ทป3,8660161.21
2566,เชียงใหม่,6,ป2,58900
2566,เชียงใหม่,6,ภธ40,176773412.7
2566,เชียงใหม่,7,ทป3,77760
2566,เชียงใหม่,7,อส10,22386214.32
2566,เชียงใหม่,7,อส10.1,620462
2566,เชียงใหม่,7,อส4,32534262.5
2566,เชียงใหม่,7,อส4ก,561702
2566,เชียงใหม่,7,อส4ข,17047540.8
2566,เชียงใหม่,7,อส9,19281639
2566,เชียงใหม่,9,รบ1,0.5
2566,เชียงใหม่,10,รบ1,5.5
2566,เชียงใหม่,11,ป2,2967800
2566,เชียงใหม่,15,รบ1,4002
2566,เชียงใหม่,999,รบ1,2000
2566,ตรัง,1,ทป3,38569752.31
2566,ตรัง,1,ป2,810500
2566,ตรัง,1,ภงด1,66508549.16
2566,ตรัง,1,ภงด2,52824562.41
2566,ตรัง,1,ภงด3,63495562.63
2566,ตรัง,1,ภงด90,51100908.07
2566,ตรัง,1,ภงด91,28236284.44
2566,ตรัง,1,ภงด93,13719447.21
2566,ตรัง,1,ภงด94,11846902.23
2566,ตรัง,2,ทป3,3056232.37
2566,ตรัง,2,ป2,374900
2566,ตรัง,2,ภงด50,169555486
2566,ตรัง,2,ภงด51,96419663.98
2566,ตรัง,2,ภงด52,1237625.37
2566,ตรัง,2,ภงด53,126691107.5
2566,ตรัง,2,ภงด54,439418.24
2566,ตรัง,2,ภงด55,131332.69
2566,ตรัง,5,ทป3,16332081.07
2566,ตรัง,5,ป2,163100
2566,ตรัง,5,ภพ30,631816018.9
2566,ตรัง,5,ภพ36,2252444.97
2566,ตรัง,6,ทป3,428533.19
2566,ตรัง,6,ป2,6000
2566,ตรัง,6,ภธ40,30659558.06
2566,ตรัง,7,อส10,5082785.45
2566,ตรัง,7,อส10.1,39270
2566,ตรัง,7,อส4,6001718.25
2566,ตรัง,7,อส4ก,127413.9
2566,ตรัง,7,อส4ข,1021390.29
2566,ตรัง,7,อส9,1248107
2566,ตรัง,9,รบ1,92
2566,ตรัง,11,ป2,718700
2566,ตราด,1,ทป3,19887613.3
2566,ตราด,1,ป2,715600
2566,ตราด,1,ภงด1,28168986.1
2566,ตราด,1,ภงด2,9485219.61
2566,ตราด,1,ภงด3,22024931.19
2566,ตราด,1,ภงด90,31447473.09
2566,ตราด,1,ภงด91,11455150.35
2566,ตราด,1,ภงด93,584942.24
2566,ตราด,1,ภงด94,13497290.34
2566,ตราด,2,ทป3,2371529.88
2566,ตราด,2,ป2,357800
2566,ตราด,2,ภงด50,51823225.97
2566,ตราด,2,ภงด51,34239973.15
2566,ตราด,2,ภงด53,42636845.43
2566,ตราด,2,ภงด55,113389.31
2566,ตราด,5,ทป3,11941390.46
2566,ตราด,5,ป2,268700
2566,ตราด,5,ภพ30,378919814.2
2566,ตราด,5,ภพ36,5530126.92
2566,ตราด,6,ทป3,43234.72
2566,ตราด,6,ป2,5300
2566,ตราด,6,ภธ40,9763418.9
2566,ตราด,7,อส10,2145090.01
2566,ตราด,7,อส10.1,100837
2566,ตราด,7,อส4,2403695
2566,ตราด,7,อส4ก,27355.5
2566,ตราด,7,อส4ข,358457.2
2566,ตราด,7,อส9,812874
2566,ตราด,11,ป2,436599
2566,ตาก,1,ทป3,43350600.77
2566,ตาก,1,ป2,1222900
2566,ตาก,1,ภงด1,58229472.99
2566,ตาก,1,ภงด2,30616729.53
2566,ตาก,1,ภงด3,48266640.32
2566,ตาก,1,ภงด90,50339228.26
2566,ตาก,1,ภงด91,18202437.12
2566,ตาก,1,ภงด93,1375166.09
2566,ตาก,1,ภงด94,15192460.58
2566,ตาก,2,ทป3,9180558.55
2566,ตาก,2,ป2,655400
2566,ตาก,2,ภงด50,208798193.2
2566,ตาก,2,ภงด51,167082399.1
2566,ตาก,2,ภงด53,106272977.3
2566,ตาก,2,ภงด54,500436.68
2566,ตาก,2,ภงด55,290184.53
2566,ตาก,5,ทป3,11854272.12
2566,ตาก,5,ป2,368400
2566,ตาก,5,ภพ30,784663202.7
2566,ตาก,5,ภพ36,4411160.49
2566,ตาก,6,ทป3,26366.27
2566,ตาก,6,ป2,9300
2566,ตาก,6,ภธ40,20754040.03
2566,ตาก,7,ทป3,162667.5
2566,ตาก,7,อส10,4518478.5
2566,ตาก,7,อส10.1,177076
2566,ตาก,7,อส4,4718566
2566,ตาก,7,อส4ก,42117.9
2566,ตาก,7,อส4ข,719180.4
2566,ตาก,7,อส9,557926
2566,ตาก,10,รบ1,23.5
2566,ตาก,11,ป2,293400
2566,ตาก,15,รบ1,4789.06
2566,นครนายก,1,ทป3,24515680.83
2566,นครนายก,1,ป2,601800
2566,นครนายก,1,ภงด1,54762046.94
2566,นครนายก,1,ภงด2,8195878.81
2566,นครนายก,1,ภงด3,37195091.78
2566,นครนายก,1,ภงด90,29159950.86
2566,นครนายก,1,ภงด91,13923738.15
2566,นครนายก,1,ภงด93,218647
2566,นครนายก,1,ภงด94,10028396.4
2566,นครนายก,2,ทป3,7198987.76
2566,นครนายก,2,ป2,479100
2566,นครนายก,2,ภงด50,55713453.27
2566,นครนายก,2,ภงด51,56971721.35
2566,นครนายก,2,ภงด53,73759282.74
2566,นครนายก,2,ภงด54,70174.23
2566,นครนายก,2,ภงด55,66748.1
2566,นครนายก,5,ทป3,9945075.49
2566,นครนายก,5,ป2,190900
2566,นครนายก,5,ภพ30,410461571.3
2566,นครนายก,5,ภพ36,1068383.34
2566,นครนายก,6,ทป3,584396.3
2566,นครนายก,6,ป2,13100
